flight_date,flight_status,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.scheduled,arrival.delay,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,aircraft
2026-04-26,scheduled,,Bintulu,Asia/Kuching,BTU,WBGB,,,,2026-04-26T08:35:00+00:00,2026-04-26T08:35:00+00:00,,,,Kuala Lumpur International Airport (klia),Asia/Kuala_Lumpur,KUL,WMKK,2,J9,,2026-04-26T10:40:00+00:00,,,,,,AirAsia,AK,AXM,5247,AK5247,AXM5247,,,,,7501FD,
2026-04-26,scheduled,,Hang Nadim,Asia/Jakarta,BTH,WIDD,,,,2026-04-26T08:05:00+00:00,2026-04-26T08:05:00+00:00,,,,Natuna Ranai,Asia/Jakarta,NTX,WION,,,,2026-04-26T09:50:00+00:00,,,,,,Wings Air,IW,WON,1270,IW1270,WON1270,,,,,,
2026-04-26,scheduled,,Hang Nadim,Asia/Jakarta,BTH,WIDD,,,,2026-04-26T08:00:00+00:00,2026-04-26T08:00:00+00:00,,,,Soekarno-Hatta International,Asia/Jakarta,CGK,WIII,2,,,2026-04-26T09:45:00+00:00,,,,,,Super Air Jet,IU,SJV,851,IU851,SJV851,,,,,,
2026-04-26,scheduled,,Hang Nadim,Asia/Jakarta,BTH,WIDD,,2-13,,2026-04-26T07:50:00+00:00,2026-04-26T07:50:00+00:00,,,,Sultan Syarif Kasim Ii,Asia/Jakarta,PKU,WIBB,,,,2026-04-26T08:45:00+00:00,,,,,,Lion Air,JT,LNI,239,JT239,LNI239,,,,,,
2026-04-26,scheduled,,Hang Nadim,Asia/Jakarta,BTH,WIDD,,2-13,,2026-04-26T07:40:00+00:00,2026-04-26T07:40:00+00:00,,,,Juanda,Asia/Jakarta,SUB,WARR,1,,B2,2026-04-26T09:55:00+00:00,,,,,,Lion Air,JT,LNI,970,JT970,LNI970,,,,,,
